Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de medicamento;Sí o no;Total
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;Sí;7,68
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;No;92,32
Ambos sexos;Total;;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el dolor;Sí;30,75
Ambos sexos;Total;;Medicinas para el dolor;No;69,25
Ambos sexos;Total;;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;;Medicinas para bajar la fiebre;Sí;2,09
Ambos sexos;Total;;Medicinas para bajar la fiebre;No;97,91
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);Sí;6,14
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);No;93,86
Ambos sexos;Total;;Laxantes;TOTAL;100,00
Ambos sexos;Total;;Laxantes;Sí;1,61
Ambos sexos;Total;;Laxantes;No;98,39
Ambos sexos;Total;;Antibióticos;TOTAL;100,00
Ambos sexos;Total;;Antibióticos;Sí;3,54
Ambos sexos;Total;;Antibióticos;No;96,46
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;Sí;10,86
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;No;89,14
Ambos sexos;Total;;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para la alergia;Sí;3,45
Ambos sexos;Total;;Medicamentos para la alergia;No;96,55
Ambos sexos;Total;;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el reuma;Sí;1,81
Ambos sexos;Total;;Medicinas para el reuma;No;98,19
Ambos sexos;Total;;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el corazón;Sí;5,29
Ambos sexos;Total;;Medicinas para el corazón;No;94,71
Ambos sexos;Total;;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;;Medicinas para la tensión arterial;Sí;18,39
Ambos sexos;Total;;Medicinas para la tensión arterial;No;81,61
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;Sí;9,75
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;No;90,25
Ambos sexos;Total;;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;;Antidepresivos, estimulantes;Sí;4,52
Ambos sexos;Total;;Antidepresivos, estimulantes;No;95,48
Ambos sexos;Total;;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;;Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;;Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;;Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;;Hormonas para la menopausia;No;0,00
Ambos sexos;Total;;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para el colesterol;Sí;12,41
Ambos sexos;Total;;Medicamentos para el colesterol;No;87,59
Ambos sexos;Total;;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para la diabetes;Sí;6,91
Ambos sexos;Total;;Medicamentos para la diabetes;No;93,09
Ambos sexos;Total;;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para el tiroides;Sí;4,61
Ambos sexos;Total;;Medicamentos para el tiroides;No;95,39
Ambos sexos;Total;;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;;Otros medicamentos;Sí;14,08
Ambos sexos;Total;;Otros medicamentos;No;85,92
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;Sí;6,06
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;No;93,94
Ambos sexos;Total;Andalucía;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el dolor;Sí;27,46
Ambos sexos;Total;Andalucía;Medicinas para el dolor;No;72,54
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;Sí;1,00
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;No;99,00
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);Sí;2,92
Ambos sexos;Total;Andalucía;Reconstituyentes (vitaminas, minerales, tónicos);No;97,08
Ambos sexos;Total;Andalucía;Laxantes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Laxantes;Sí;1,06
Ambos sexos;Total;Andalucía;Laxantes;No;98,94
Ambos sexos;Total;Andalucía;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Andalucía;Antibióticos;Sí;3,11
Ambos sexos;Total;Andalucía;Antibióticos;No;96,89
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;Sí;9,20
Ambos sexos;Total;Andalucía;Tranquilizantes, relajantes, pastillas para dormir;No;90,80
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;Sí;3,35
Ambos sexos;Total;Andalucía;Medicamentos para la alergia;No;96,65
Ambos sexos;Total;Andalucía;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el reuma;Sí;1,31
Ambos sexos;Total;Andalucía;Medicinas para el reuma;No;98,69
Ambos sexos;Total;Andalucía;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el corazón;Sí;5,08
Ambos sexos;Total;Andalucía;Medicinas para el corazón;No;94,92
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;Sí;19,95
Ambos sexos;Total;Andalucía;Medicinas para la tensión arterial;No;80,05
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;Sí;8,25
Ambos sexos;Total;Andalucía;Medicinas para el estómago y/o alteraciones digestivas;No;91,75
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;Sí;3,35
Ambos sexos;Total;Andalucía;Antidepresivos, estimulantes;No;96,65
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;Sí;0,00
Ambos sexos;Total;Andalucía;Píldoras para no quedar embarazada;No;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;Sí;0,00
Ambos sexos;Total;Andalucía;Hormonas para la menopausia;No;0,00
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;Sí;10,63
Ambos sexos;Total;Andalucía;Medicamentos para el colesterol;No;89,37
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;Sí;7,48
Ambos sexos;Total;Andalucía;Medicamentos para la diabetes;No;92,52
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;Sí;4,40
Ambos sexos;Total;Andalucía;Medicamentos para el tiroides;No;95,60
Ambos sexos;Total;Andalucía;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;Andalucía;Otros medicamentos;Sí;13,76
Ambos sexos;Total;Andalucía;Otros medicamentos;No;86,24
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;Sí;8,03
Ambos sexos;Total;Aragón;Medicinas para el catarro, gripe, garganta, bronquios;No;91,97
Ambos sexos;Total;Aragón;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para el dolor;Sí;30,89
Ambos sexos;Total;Aragón;Medicinas para el dolor;No;69,11
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;Sí;1,84
Ambos sexos;Total;Aragón;Medicinas para bajar la fiebre;No;98,16
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);Sí;4,41
Ambos sexos;Total;Aragón;Reconstituyentes (vitaminas, minerales, tónicos);No;95,59
Ambos sexos;Total;Aragón;Laxantes;TOTAL;100,00
Ambos sexos;Total;Aragón;Laxantes;Sí;1,61
Ambos sexos;Total;Aragón;Laxantes;No;98,39
Ambos sexos;Total;Aragón;Antibióticos;TOTAL;100,00
Ambos sexos;Total;Aragón;Antibióticos;Sí;2,91
Ambos sexos;Total;Aragón;Antibióticos;No;97,09
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;Sí;9,37
Ambos sexos;Total;Aragón;Tranquilizantes, relajantes, pastillas para dormir;No;90,63
Ambos sexos;Total;Aragón;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;Aragón;Medicamentos para la alergia;Sí;4,13
Ambos sexos;Total;Aragón;Medicamentos para la alergia;No;95,87
