Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Tipo de medicamento;Recetado;Total
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;Recetado;73,33
Ambos sexos;Total;;Medicinas para el catarro, gripe, garganta, bronquios;No recetado;26,67
Ambos sexos;Total;;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el dolor;Recetado;77,17
Ambos sexos;Total;;Medicinas para el dolor;No recetado;22,83
Ambos sexos;Total;;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;;Medicinas para bajar la fiebre;Recetado;84,44
Ambos sexos;Total;;Medicinas para bajar la fiebre;No recetado;15,56
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);TOTAL;100,00
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);Recetado;67,16
Ambos sexos;Total;;Reconstituyentes (vitaminas, minerales, tónicos);No recetado;32,84
Ambos sexos;Total;;Laxantes;TOTAL;100,00
Ambos sexos;Total;;Laxantes;Recetado;79,42
Ambos sexos;Total;;Laxantes;No recetado;20,58
Ambos sexos;Total;;Antibióticos;TOTAL;100,00
Ambos sexos;Total;;Antibióticos;Recetado;97,89
Ambos sexos;Total;;Antibióticos;No recetado;2,11
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;TOTAL;100,00
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;Recetado;97,10
Ambos sexos;Total;;Tranquilizantes, relajantes, pastillas para dormir;No recetado;2,90
Ambos sexos;Total;;Medicamentos para la alergia;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para la alergia;Recetado;97,78
Ambos sexos;Total;;Medicamentos para la alergia;No recetado;2,22
Ambos sexos;Total;;Medicinas para el reuma;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el reuma;Recetado;99,87
Ambos sexos;Total;;Medicinas para el reuma;No recetado;0,13
Ambos sexos;Total;;Medicinas para el corazón;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el corazón;Recetado;100,00
Ambos sexos;Total;;Medicinas para el corazón;No recetado;0,00
Ambos sexos;Total;;Medicinas para la tensión arterial;TOTAL;100,00
Ambos sexos;Total;;Medicinas para la tensión arterial;Recetado;99,94
Ambos sexos;Total;;Medicinas para la tensión arterial;No recetado;0,06
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;TOTAL;100,00
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;Recetado;97,23
Ambos sexos;Total;;Medicinas para el estómago y/o alteraciones digestivas;No recetado;2,77
Ambos sexos;Total;;Antidepresivos, estimulantes;TOTAL;100,00
Ambos sexos;Total;;Antidepresivos, estimulantes;Recetado;99,75
Ambos sexos;Total;;Antidepresivos, estimulantes;No recetado;0,25
Ambos sexos;Total;;Píldoras para no quedar embarazada;TOTAL;0,00
Ambos sexos;Total;;Píldoras para no quedar embarazada;Recetado;0,00
Ambos sexos;Total;;Píldoras para no quedar embarazada;No recetado;0,00
Ambos sexos;Total;;Hormonas para la menopausia;TOTAL;0,00
Ambos sexos;Total;;Hormonas para la menopausia;Recetado;0,00
Ambos sexos;Total;;Hormonas para la menopausia;No recetado;0,00
Ambos sexos;Total;;Medicamentos para el colesterol;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para el colesterol;Recetado;99,56
Ambos sexos;Total;;Medicamentos para el colesterol;No recetado;0,44
Ambos sexos;Total;;Medicamentos para la diabetes;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para la diabetes;Recetado;99,93
Ambos sexos;Total;;Medicamentos para la diabetes;No recetado;0,07
Ambos sexos;Total;;Medicamentos para el tiroides;TOTAL;100,00
Ambos sexos;Total;;Medicamentos para el tiroides;Recetado;99,57
Ambos sexos;Total;;Medicamentos para el tiroides;No recetado;0,43
Ambos sexos;Total;;Otros medicamentos;TOTAL;100,00
Ambos sexos;Total;;Otros medicamentos;Recetado;94,49
Ambos sexos;Total;;Otros medicamentos;No recetado;5,51
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;Recetado;78,39
Ambos sexos;Total;Andalucía;Medicinas para el catarro, gripe, garganta, bronquios;No recetado;21,61
Ambos sexos;Total;Andalucía;Medicinas para el dolor;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para el dolor;Recetado;83,82
Ambos sexos;Total;Andalucía;Medicinas para el dolor;No recetado;16,18
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;TOTAL;100,00
Ambos sexos;Total;Andalucía;Medicinas para bajar la fiebre;Recetado;96,87
